user,timestamp,hours,project,logged_time
Ned,2019-09-27 00:00:00,8.0,bizdev,08:00:00
Robert,2019-09-27 00:00:00,8.0,bizdev,08:00:00
Ned,2019-09-26 00:00:00,4.0,bizdev,04:00:00
Ned,2019-09-26 00:00:00,1.0,culture and management,01:00:00
Ned,2019-09-26 00:00:00,1.5,projects,01:30:00
Ned,2019-09-26 00:00:00,1.0,projects,01:00:00
Jaime,2018-12-21 00:00:00,2.0,projects,02:00:00
Jaime,2018-12-21 00:00:00,0.5,projects,00:30:00
Jaime,2018-12-21 00:00:00,3.5,projects,03:30:00
Jaime,2018-12-20 00:00:00,1.5,projects,01:30:00
Jaime,2018-12-20 00:00:00,1.5,projects,01:30:00
Jaime,2018-12-20 00:00:00,1.0,projects,01:00:00
Jaime,2018-12-20 00:00:00,3.0,projects,03:00:00
Catelyn,2018-11-26 14:47:00,0.6,ops and admin,00:36:00
Catelyn,2018-11-26 14:47:00,0.45,ops and admin,00:27:00
Catelyn,2018-11-26 14:47:00,0.4,culture and management,00:24:00
Catelyn,2018-11-26 14:47:00,0.08,security,00:04:47
Catelyn,2018-11-26 14:47:00,0.68,projects,00:40:48
Catelyn,2018-11-26 14:47:00,0.35,ops and admin,00:21:00
Catelyn,2018-11-26 14:47:00,1.53,projects,01:31:48
Catelyn,2018-11-26 14:47:00,0.72,ops and admin,00:43:11
Catelyn,2018-11-26 14:47:00,0.38,culture and management,00:22:48
Catelyn,2018-11-26 14:47:00,0.62,culture and management,00:37:12
Cersei,2018-11-26 13:17:00,3.0,blog ideas,03:00:00
Cersei,2018-11-26 13:17:00,1.0,projects,01:00:00
Cersei,2018-11-26 13:17:00,4.0,miscellaneous,04:00:00
Daenerys,2018-11-26 12:55:00,8.0,blog ideas,08:00:00
Daenerys,2018-11-26 12:55:00,0.5,projects,00:30:00
Jorah,2018-11-26 12:49:00,2.0,projects,02:00:00
Jorah,2018-11-26 12:49:00,1.5,transit,01:30:00
Jorah,2018-11-26 12:49:00,0.5,ops and admin,00:30:00
Jorah,2018-11-26 12:49:00,0.5,ops and admin,00:30:00
Jorah,2018-11-26 12:49:00,0.5,learning,00:30:00
Jorah,2018-11-26 12:49:00,1.5,projects,01:30:00
Jorah,2018-11-26 12:49:00,1.25,bizdev,01:15:00
Jorah,2018-11-26 12:49:00,0.75,products,00:45:00
Viserys,2018-11-26 12:30:00,1.5,projects,01:30:00
Viserys,2018-11-26 12:30:00,2.0,projects,02:00:00
Viserys,2018-11-26 12:30:00,0.5,ops and admin,00:30:00
Viserys,2018-11-26 12:30:00,0.5,ops and admin,00:30:00
Viserys,2018-11-26 12:30:00,0.5,blog ideas,00:30:00
Viserys,2018-11-26 12:30:00,2.0,projects,02:00:00
Viserys,2018-11-26 12:30:00,1.0,projects,01:00:00
Jaime,2018-11-26 12:11:00,0.58,learning,00:34:47
Jaime,2018-11-26 12:11:00,0.1,projects,00:06:00
Jaime,2018-11-26 12:11:00,0.5,projects,00:30:00
Jaime,2018-11-26 12:11:00,0.5,ops and admin,00:30:00
Jaime,2018-11-26 12:11:00,4.0,projects,04:00:00
Jaime,2018-11-26 12:11:00,0.63,ops and admin,00:37:47
Jaime,2018-11-26 12:11:00,0.57,ops and admin,00:34:11
Jaime,2018-11-26 12:11:00,1.8,learning,01:48:00
Jaime,2018-11-26 12:11:00,0.07,ops and admin,00:04:12
Ned,2018-11-26 12:08:00,1.0,projects,01:00:00
Ned,2018-11-26 12:08:00,1.5,culture and management,01:30:00
Ned,2018-11-26 12:08:00,0.5,learning,00:30:00
Ned,2018-11-26 12:08:00,2.5,events,02:30:00
Ned,2018-11-26 12:08:00,0.5,culture and management,00:30:00
Ned,2018-11-26 12:08:00,1.5,transit,01:30:00
Jon,2018-11-26 11:49:00,2.5,projects,02:30:00
Jon,2018-11-26 11:49:00,1.0,projects,01:00:00
Jon,2018-11-26 11:49:00,1.75,projects,01:45:00
Jon,2018-11-26 11:49:00,0.5,projects,00:30:00
Jon,2018-11-26 11:49:00,0.75,projects,00:45:00
Jon,2018-11-26 11:49:00,2.0,projects,02:00:00
Sansa,2018-11-26 11:48:00,1.0,projects,01:00:00
Sansa,2018-11-26 11:48:00,2.0,transit,02:00:00
Sansa,2018-11-26 11:48:00,2.5,projects,02:30:00
Sansa,2018-11-26 11:48:00,1.0,projects,01:00:00
Sansa,2018-11-26 11:48:00,2.0,bizdev,02:00:00
Sansa,2018-11-26 11:48:00,0.5,products,00:30:00
Arya,2018-11-26 11:39:00,6.0,projects,06:00:00
Arya,2018-11-26 11:39:00,1.0,learning,01:00:00
Arya,2018-11-26 11:39:00,0.5,projects,00:30:00
Robb,2018-11-26 11:31:00,0.5,bizdev,00:30:00
Robb,2018-11-26 11:31:00,8.0,projects,08:00:00
Theon,2018-11-26 09:00:00,1.0,projects,01:00:00
Theon,2018-11-26 09:00:00,0.5,bizdev,00:30:00
Theon,2018-11-26 09:00:00,1.0,ops and admin,01:00:00
Theon,2018-11-26 09:00:00,5.5,events,05:30:00
Bran,2018-11-26 00:00:00,4.37,projects,04:22:12
Bran,2018-11-26 00:00:00,1.08,learning,01:04:48
Bran,2018-11-26 00:00:00,0.92,bizdev,00:55:12
Bran,2018-11-26 00:00:00,1.0,learning,01:00:00
Bran,2018-11-26 00:00:00,0.5,projects,00:30:00
Joffrey,2018-11-25 00:00:00,5.0,projects,05:00:00
Theon,2018-11-25 00:00:00,5.0,events,05:00:00
Cersei,2018-11-24 08:53:00,2.0,blog ideas,02:00:00
Hound,2018-11-24 00:00:00,4.0,finance,04:00:00
Catelyn,2018-11-23 13:12:00,0.93,projects,00:55:48
Catelyn,2018-11-23 13:12:00,0.95,ops and admin,00:57:00
Catelyn,2018-11-23 13:12:00,0.18,projects,00:10:47
Catelyn,2018-11-23 13:12:00,2.37,projects,02:22:12
Catelyn,2018-11-23 13:12:00,1.1,engineering,01:06:00
Catelyn,2018-11-23 13:12:00,1.18,projects,01:10:47
Arya,2018-11-23 13:10:00,2.5,projects,02:30:00
Arya,2018-11-23 13:10:00,3.0,projects,03:00:00
Arya,2018-11-23 13:10:00,1.5,projects,01:30:00
Arya,2018-11-23 13:10:00,1.0,projects,01:00:00
Viserys,2018-11-23 10:27:00,0.64,projects,00:38:23
Viserys,2018-11-23 10:27:00,0.27,ops and admin,00:16:12
Viserys,2018-11-23 10:27:00,3.98,projects,03:58:47
Viserys,2018-11-23 10:27:00,1.89,blog ideas,01:53:23
Viserys,2018-11-23 10:27:00,0.88,projects,00:52:47
Ned,2018-11-23 10:22:00,1.0,projects,01:00:00
Ned,2018-11-23 10:22:00,1.0,projects,01:00:00
Ned,2018-11-23 10:22:00,1.5,culture and management,01:30:00
Ned,2018-11-23 10:22:00,1.0,learning,01:00:00
Jon,2018-11-23 10:21:00,0.25,projects,00:15:00
Jon,2018-11-23 10:21:00,6.25,projects,06:15:00
Jon,2018-11-23 10:21:00,1.5,blog ideas,01:30:00
Tyrion,2018-11-23 00:00:00,3.08,projects,03:04:48
Sansa,2018-11-23 00:00:00,2.0,projects,02:00:00
Tyrion,2018-11-23 00:00:00,0.25,blog ideas,00:15:00
Tyrion,2018-11-23 00:00:00,3.42,website,03:25:11
Robb,2018-11-23 00:00:00,1.0,events,01:00:00
Theon,2018-11-23 00:00:00,4.0,blog ideas,04:00:00
Cersei,2018-11-23 00:00:00,5.5,blog ideas,05:30:00
Cersei,2018-11-23 00:00:00,0.5,projects,00:30:00
Theon,2018-11-23 00:00:00,1.0,projects,01:00:00
Bran,2018-11-23 00:00:00,1.5,bizdev,01:30:00
Joffrey,2018-11-23 00:00:00,1.0,projects,01:00:00
Joffrey,2018-11-23 00:00:00,0.5,projects,00:30:00
Joffrey,2018-11-23 00:00:00,1.2,culture and management,01:11:59
Joffrey,2018-11-23 00:00:00,0.5,projects,00:30:00
Joffrey,2018-11-23 00:00:00,0.5,bizdev,00:30:00
Joffrey,2018-11-23 00:00:00,3.5,projects,03:30:00
Bran,2018-11-23 00:00:00,0.5,bizdev,00:30:00
Bran,2018-11-23 00:00:00,1.1,projects,01:06:00
Bran,2018-11-23 00:00:00,0.4,bizdev,00:24:00
Bran,2018-11-23 00:00:00,0.78,bizdev,00:46:48
Bran,2018-11-23 00:00:00,1.78,projects,01:46:48
Bran,2018-11-23 00:00:00,1.13,projects,01:07:47
Bran,2018-11-23 00:00:00,1.8,bizdev,01:48:00
Khal,2018-11-23 00:00:00,2.0,projects,02:00:00
Khal,2018-11-23 00:00:00,5.0,projects,05:00:00
Littlefinger,2018-11-23 00:00:00,10.0,events,10:00:00
Hound,2018-11-23 00:00:00,3.5,finance,03:30:00
Littlefinger,2018-11-23 00:00:00,3.5,ops and admin,03:30:00
Robb,2018-11-23 00:00:00,6.0,projects,06:00:00
Sansa,2018-11-23 00:00:00,2.0,projects,02:00:00
Sansa,2018-11-23 00:00:00,1.0,projects,01:00:00
Sansa,2018-11-23 00:00:00,1.0,projects,01:00:00
Sansa,2018-11-23 00:00:00,2.0,bizdev,02:00:00
Hound,2018-11-23 00:00:00,0.5,ops and admin,00:30:00
Tyrion,2018-11-23 00:00:00,1.58,blog ideas,01:34:48
Hound,2018-11-23 00:00:00,0.5,events,00:30:00
Hound,2018-11-23 00:00:00,0.5,blog ideas,00:30:00
Hound,2018-11-23 00:00:00,1.0,events,01:00:00
Hound,2018-11-23 00:00:00,1.5,events,01:30:00
Ned,2018-11-22 15:46:00,0.5,ops and admin,00:30:00
Ned,2018-11-22 15:46:00,2.0,culture and management,02:00:00
Ned,2018-11-22 15:46:00,2.0,recruitment,02:00:00
Ned,2018-11-22 15:46:00,1.5,projects,01:30:00
Ned,2018-11-22 15:46:00,1.0,culture and management,01:00:00
Ned,2018-11-22 15:46:00,1.0,projects,01:00:00
Ned,2018-11-22 15:46:00,2.0,culture and management,02:00:00
Theon,2018-11-22 15:45:00,4.0,blog ideas,04:00:00
Theon,2018-11-22 15:45:00,3.0,projects,03:00:00
Robb,2018-11-22 15:38:00,9.0,projects,09:00:00
Viserys,2018-11-22 15:31:00,3.42,projects,03:25:11
Viserys,2018-11-22 15:31:00,3.86,blog ideas,03:51:35
Viserys,2018-11-22 15:31:00,0.28,ops and admin,00:16:48
